iter	Passed	Remaining
0	16	3667
1	31	3483
2	45	3276
3	58	3157
4	71	3073
5	99	3557
6	115	3519
7	130	3460
8	143	3357
9	155	3267
10	169	3214
11	185	3219
12	203	3233
13	217	3206
14	231	3160
15	245	3129
16	260	3110
17	275	3089
18	290	3074
19	302	3029
20	315	2989
21	328	2953
22	341	2922
23	353	2886
24	369	2882
25	385	2876
26	402	2875
27	417	2863
28	432	2846
29	443	2811
30	458	2794
31	470	2765
32	485	2749
33	500	2736
34	514	2718
35	527	2698
36	542	2681
37	557	2668
38	572	2656
39	588	2648
40	607	2651
41	623	2642
42	639	2633
43	655	2622
44	669	2603
45	685	2593
46	701	2582
47	717	2570
48	733	2559
49	750	2552
50	764	2532
51	778	2515
52	792	2496
53	807	2481
54	827	2482
55	840	2461
56	855	2446
57	869	2428
58	883	2411
59	898	2395
60	913	2381
61	927	2364
62	940	2344
63	954	2327
64	968	2310
65	982	2292
66	995	2273
67	1009	2255
68	1022	2237
69	1036	2221
70	1051	2206
71	1062	2184
72	1074	2163
73	1087	2145
74	1098	2124
75	1112	2107
76	1126	2091
77	1133	2064
78	1144	2043
79	1158	2028
80	1171	2010
81	1184	1993
82	1197	1975
83	1204	1950
84	1219	1936
85	1233	1922
86	1246	1904
87	1258	1887
88	1270	1869
89	1284	1855
90	1298	1840
91	1311	1825
92	1325	1809
93	1338	1793
94	1350	1776
95	1364	1762
96	1376	1745
97	1392	1733
98	1406	1718
99	1418	1702
100	1433	1689
101	1443	1669
102	1456	1654
103	1463	1632
104	1475	1615
105	1489	1601
106	1501	1585
107	1514	1571
108	1520	1548
109	1528	1528
110	1540	1512
111	1553	1497
112	1564	1481
113	1578	1467
114	1591	1452
115	1604	1438
116	1617	1423
117	1633	1412
118	1648	1399
119	1654	1378
120	1669	1366
121	1683	1352
122	1697	1338
123	1713	1326
124	1727	1312
125	1742	1300
126	1752	1283
127	1760	1265
128	1775	1252
129	1788	1237
130	1801	1224
131	1818	1212
132	1833	1199
133	1848	1186
134	1865	1174
135	1883	1163
136	1898	1150
137	1914	1137
138	1924	1121
139	1936	1106
140	1952	1093
141	1977	1086
142	2002	1078
143	2007	1059
144	2021	1045
145	2036	1031
146	2048	1017
147	2061	1002
148	2075	988
149	2089	975
150	2103	961
151	2116	946
152	2128	932
153	2141	917
154	2155	903
155	2169	890
156	2184	876
157	2198	862
158	2209	847
159	2222	833
160	2233	818
161	2248	804
162	2262	791
163	2275	776
164	2291	763
165	2306	750
166	2318	735
167	2332	721
168	2343	707
169	2356	693
170	2371	679
171	2385	665
172	2399	651
173	2412	637
174	2424	623
175	2438	609
176	2450	595
177	2464	581
178	2474	566
179	2488	552
180	2502	539
181	2515	525
182	2531	511
183	2545	497
184	2558	484
185	2571	469
186	2584	456
187	2598	442
188	2611	428
189	2625	414
190	2637	400
191	2649	386
192	2661	372
193	2674	358
194	2686	344
195	2702	330
196	2716	317
197	2731	303
198	2748	290
199	2765	276
200	2781	262
201	2797	249
202	2812	235
203	2826	221
204	2839	207
205	2854	194
206	2870	180
207	2885	166
208	2900	152
209	2914	138
210	2930	124
211	2947	111
212	2962	97
213	2978	83
214	2995	69
215	3011	55
216	3026	41
217	3040	27
218	3053	13
219	3066	0
