iter	RMSE
0	4318.555053
1	4109.009587
2	3913.360733
3	3733.870267
4	3571.649054
5	3417.952986
6	3277.053795
7	3149.658437
8	3034.427634
9	2928.179116
10	2828.122347
11	2734.792206
12	2651.764037
13	2572.578904
14	2502.507498
15	2440.030206
16	2378.861891
17	2326.799352
18	2279.161718
19	2232.257773
20	2193.636173
21	2158.205873
22	2123.927898
23	2088.302578
24	2058.133363
25	2028.229536
26	1999.865307
27	1972.544084
28	1949.766912
29	1928.881802
30	1910.25665
31	1892.25787
32	1877.296701
33	1862.733388
34	1849.135607
35	1832.385459
36	1820.577188
37	1809.660185
38	1799.901066
39	1790.761377
40	1782.092356
41	1774.241418
42	1767.336267
43	1760.221214
44	1752.024027
45	1746.102579
46	1740.113379
47	1733.829721
48	1729.139395
49	1724.397996
50	1719.384008
51	1712.721636
52	1709.089185
53	1705.142024
54	1701.705297
55	1698.439939
56	1695.479208
57	1692.638643
58	1688.779222
59	1686.015143
60	1682.206065
61	1679.41396
62	1676.540465
63	1674.050797
64	1671.628215
65	1669.01532
66	1666.968872
67	1664.566464
68	1662.183012
69	1660.504924
70	1658.038664
71	1656.138829
72	1653.713046
73	1651.651833
74	1649.927233
75	1648.603605
76	1645.174733
77	1642.560444
78	1641.138031
79	1639.142209
80	1637.137778
81	1633.425129
82	1631.216832
83	1629.397
84	1627.386527
85	1625.470457
86	1624.214532
87	1623.027682
88	1621.460003
89	1619.9426
90	1617.98299
91	1616.851111
92	1615.121366
93	1613.799466
94	1612.146864
95	1610.835135
96	1609.399531
97	1608.491505
98	1607.779713
99	1606.722103
100	1605.107888
101	1603.07559
102	1601.209748
103	1600.323968
104	1598.994756
105	1597.410035
106	1595.694293
107	1593.831353
108	1592.902577
109	1591.289038
110	1590.126476
111	1589.242346
112	1588.159477
113	1587.553054
114	1586.363346
115	1585.006128
116	1583.699231
117	1582.485924
118	1581.82407
119	1580.527385
120	1579.770307
121	1578.414945
122	1577.060915
123	1576.39956
124	1575.570064
125	1574.289961
126	1573.086753
127	1572.252256
128	1571.531988
129	1570.932701
130	1569.526837
131	1568.877897
132	1568.598833
133	1567.360037
134	1566.184653
135	1565.484685
136	1564.336269
137	1563.42649
138	1561.984387
139	1561.23228
140	1560.680726
141	1560.316326
142	1559.560938
143	1558.601465
144	1557.993523
145	1556.721486
146	1556.297952
147	1555.790585
148	1554.804359
149	1554.103037
150	1553.512251
151	1552.902321
152	1551.813775
153	1551.056998
154	1550.639693
155	1549.970793
156	1548.927097
157	1548.611829
158	1548.131262
159	1547.467275
160	1546.435509
161	1545.698985
162	1544.456271
163	1543.612233
164	1542.990875
165	1542.149644
166	1541.807013
167	1540.659238
168	1539.73579
169	1539.159554
170	1538.568392
171	1537.799341
172	1536.495929
173	1535.978264
174	1535.349248
175	1534.669385
176	1534.233966
177	1533.212782
178	1532.618175
179	1531.535071
180	1531.116503
181	1530.276083
182	1529.68779
183	1528.950455
184	1528.594819
185	1527.911858
186	1527.209501
187	1526.472956
188	1526.039844
189	1524.957187
190	1523.885932
191	1523.186933
192	1522.021712
193	1521.278813
194	1520.654269
195	1519.932752
196	1519.527992
197	1518.963434
198	1518.644633
199	1517.854719
200	1517.067191
201	1516.40286
202	1515.871738
203	1515.390272
204	1514.629751
205	1513.958073
206	1513.371371
207	1513.094628
208	1512.73941
209	1512.401111
210	1511.960135
211	1511.546035
212	1511.313705
213	1510.137459
214	1509.522339
215	1509.132082
216	1508.598137
217	1507.964767
218	1507.741991
219	1507.100915
220	1506.895089
221	1506.434879
222	1505.901955
223	1505.460087
224	1504.906213
225	1504.282469
226	1503.793392
227	1503.326124
228	1503.10704
229	1502.726159
230	1502.185024
231	1501.744715
232	1500.980753
233	1500.588972
234	1500.177153
235	1499.567279
236	1499.227073
237	1499.041555
238	1498.751691
239	1498.159832
240	1497.567058
241	1497.205107
242	1496.767732
243	1496.44172
244	1496.246819
245	1495.769358
246	1495.459573
247	1495.105929
248	1494.428614
249	1493.933557
250	1493.354745
251	1493.010659
252	1492.439139
253	1492.224391
254	1491.861601
255	1491.377124
256	1490.850111
257	1490.312088
258	1489.955122
259	1489.448583
