iter	Passed	Remaining
0	109	28279
1	221	28595
2	336	28845
3	434	27791
4	553	28241
5	653	27672
6	770	27849
7	896	28237
8	1046	29173
9	1144	28620
10	1275	28873
11	1440	29773
12	1540	29274
13	1640	28829
14	1740	28435
15	1875	28603
16	1994	28510
17	2100	28235
18	2210	28041
19	2320	27844
20	2462	28030
21	2567	27771
22	2684	27663
23	2791	27452
24	2890	27168
25	3010	27098
26	3096	26722
27	3247	26911
28	3349	26681
29	3457	26503
30	3570	26374
31	3689	26285
32	3791	26077
33	3908	25981
34	4016	25822
35	4114	25601
36	4223	25452
37	4356	25449
38	4491	25452
39	4614	25377
40	4745	25348
41	4862	25239
42	4981	25137
43	5121	25142
44	5231	24994
45	5328	24789
46	5450	24703
47	5554	24532
48	5691	24508
49	5791	24325
50	5905	24199
51	6002	24010
52	6114	23881
53	6241	23808
54	6332	23602
55	6455	23516
56	6563	23373
57	6700	23336
58	6787	23123
59	6881	22936
60	6998	22831
61	7109	22706
62	7229	22606
63	7343	22488
64	7476	22428
65	7598	22333
66	7691	22154
67	7800	22025
68	7914	21908
69	8022	21775
70	8151	21698
71	8259	21565
72	8372	21447
73	8500	21364
74	8614	21248
75	8717	21104
76	8851	21037
77	8957	20901
78	9097	20843
79	9213	20730
80	9343	20648
81	9463	20543
82	9582	20434
83	9685	20294
84	9806	20189
85	9898	20028
86	10009	19903
87	10102	19745
88	10216	19628
89	10318	19490
90	10433	19375
91	10536	19239
92	10648	19121
93	10781	19039
94	10911	18951
95	11031	18846
96	11157	18749
97	11281	18649
98	11408	18553
99	11520	18432
100	11648	18337
101	11766	18226
102	11869	18092
103	12010	18016
104	12125	17899
105	12236	17777
106	12363	17678
107	12467	17546
108	12572	17417
109	12682	17293
110	12787	17164
111	12907	17056
112	13025	16944
113	13141	16830
114	13246	16702
115	13348	16570
116	13485	16481
117	13613	16382
118	13755	16298
119	13863	16174
120	13977	16057
121	14092	15940
122	14221	15839
123	14355	15744
124	14460	15617
125	14585	15511
126	14716	15411
127	14829	15292
128	14945	15177
129	15069	15069
130	15189	14957
131	15298	14834
132	15409	14714
133	15549	14620
134	15680	14519
135	15795	14401
136	15887	14264
137	16000	14144
138	16138	14049
139	16253	13931
140	16353	13801
141	16454	13673
142	16556	13546
143	16679	13435
144	16799	13323
145	16928	13218
146	17031	13091
147	17145	12975
148	17259	12857
149	17363	12733
150	17476	12615
151	17593	12500
152	17720	12392
153	17842	12281
154	17971	12174
155	18098	12065
156	18198	11939
157	18369	11858
158	18475	11735
159	18603	11627
160	18710	11505
161	18859	11408
162	18970	11288
163	19068	11162
164	19227	11070
165	19334	10948
166	19453	10833
167	19607	10737
168	19713	10614
169	19841	10504
170	19960	10388
171	20066	10266
172	20190	10153
173	20315	10041
174	20445	9930
175	20563	9814
176	20675	9695
177	20787	9576
178	20900	9457
179	21025	9344
180	21144	9228
181	21252	9108
182	21365	8989
183	21479	8871
184	21629	8768
185	21763	8658
186	21872	8538
187	21976	8416
188	22105	8304
189	22241	8194
190	22365	8079
191	22478	7961
192	22610	7849
193	22721	7730
194	22822	7607
195	22944	7492
196	23076	7379
197	23179	7258
198	23296	7141
199	23404	7021
200	23511	6901
201	23635	6786
202	23771	6674
203	23919	6566
204	24054	6453
205	24161	6333
206	24293	6219
207	24402	6100
208	24530	5985
209	24669	5873
210	24789	5756
211	24899	5637
212	25016	5520
213	25132	5402
214	25263	5287
215	25368	5167
216	25502	5053
217	25618	4935
218	25734	4817
219	25871	4703
220	26004	4589
221	26130	4472
222	26248	4355
223	26356	4235
224	26469	4117
225	26586	3999
226	26716	3883
227	26871	3771
228	26984	3652
229	27108	3535
230	27232	3418
231	27333	3298
232	27449	3180
233	27576	3064
234	27704	2947
235	27826	2829
236	27945	2711
237	28042	2592
238	28148	2473
239	28269	2355
240	28400	2239
241	28534	2122
242	28654	2004
243	28780	1887
244	28903	1769
245	29035	1652
246	29162	1534
247	29272	1416
248	29393	1298
249	29524	1180
250	29633	1062
251	29764	944
252	29883	826
253	30003	708
254	30130	590
255	30253	472
256	30374	354
257	30487	236
258	30609	118
259	30724	0
