iter	RMSE
0	11.12562406
1	10.90295145
2	10.69493887
3	10.52764745
4	10.3762629
5	10.21231239
6	10.06040547
7	9.928475236
8	9.801751496
9	9.699531415
10	9.605662203
11	9.495694134
12	9.4077804
13	9.321690872
14	9.236614749
15	9.154932274
16	9.088724087
17	9.005290182
18	8.93892418
19	8.874504976
20	8.837483168
21	8.794169017
22	8.734026854
23	8.694210447
24	8.644853178
25	8.607411052
26	8.570353807
27	8.516559018
28	8.472138503
29	8.437073601
30	8.403188364
31	8.368176804
32	8.335375018
33	8.277402796
34	8.249821674
35	8.205357157
36	8.176535419
37	8.148663824
38	8.121880698
39	8.097396537
40	8.076431537
41	8.053879508
42	8.032486939
43	7.998021078
44	7.945283318
45	7.926790463
46	7.900567063
47	7.881687108
48	7.863305801
49	7.838875818
50	7.816717052
51	7.792190795
52	7.76366725
53	7.753521844
54	7.724526368
55	7.680233532
56	7.663326065
57	7.654235949
58	7.64319741
59	7.629762575
60	7.610121173
61	7.583334393
62	7.564305705
63	7.532364079
64	7.498990203
65	7.47896256
66	7.4653535
67	7.434514829
68	7.406353509
69	7.397710103
70	7.376779757
71	7.363920503
72	7.345506322
73	7.328992055
74	7.314687566
75	7.299373297
76	7.282686535
77	7.27576924
78	7.249483279
79	7.238381894
80	7.226297901
81	7.209832485
82	7.183290817
83	7.170275857
84	7.151080457
85	7.136489148
86	7.116295073
87	7.108928255
88	7.081835534
89	7.076452308
90	7.062984766
91	7.049400417
92	7.033195919
93	7.010812846
94	6.996351871
95	6.978521163
96	6.959095199
97	6.949642445
98	6.933571925
99	6.912221568
100	6.897306839
101	6.890198072
102	6.866938268
103	6.850475688
104	6.841159369
105	6.832102009
106	6.815134267
107	6.79626341
108	6.771870751
109	6.749439628
110	6.742727106
111	6.727127289
112	6.70760584
113	6.688051952
114	6.6685755
115	6.655721777
116	6.64317898
117	6.615496687
118	6.600592861
119	6.578469755
120	6.564422523
121	6.547574592
122	6.524814928
123	6.510001138
124	6.494453124
125	6.480084747
126	6.466374699
127	6.455870606
128	6.44575517
129	6.422825944
130	6.411595594
131	6.390335178
132	6.370500065
133	6.353828228
134	6.344592403
135	6.336843873
136	6.333096956
137	6.319874782
138	6.299502499
139	6.275471701
140	6.270464605
141	6.267033142
142	6.25202596
143	6.250906613
144	6.237091255
145	6.220334264
146	6.203838352
147	6.18498619
148	6.172126951
149	6.164889864
150	6.1527226
151	6.137811123
152	6.132134094
153	6.117100564
154	6.11510536
155	6.112245291
156	6.101234172
157	6.099996071
158	6.083451936
159	6.075293107
160	6.073754556
161	6.066240322
162	6.050934139
163	6.049406688
164	6.040044081
165	6.029257289
166	6.020465891
167	6.019027583
168	6.000116502
169	5.985221751
170	5.973078465
171	5.961505633
172	5.948708286
173	5.94663177
174	5.93700891
175	5.928422785
176	5.916578287
177	5.915238052
178	5.906356293
179	5.895328793
180	5.891140206
181	5.88244571
182	5.874911468
183	5.86425196
184	5.863083575
185	5.846300213
186	5.845615699
187	5.843086058
188	5.834886096
189	5.829682759
190	5.818862105
191	5.811790502
192	5.803894486
193	5.802788726
194	5.793949878
195	5.781628257
196	5.77161099
197	5.767779044
198	5.766690167
199	5.76593204
200	5.754225069
201	5.746804324
202	5.73681197
203	5.72770923
204	5.716434467
205	5.709213205
206	5.699242164
207	5.691813398
208	5.69091156
209	5.681075404
210	5.670754583
211	5.666409201
212	5.656637668
213	5.636137415
214	5.625657753
215	5.619277038
216	5.611738227
217	5.60179749
218	5.596829833
219	5.589301949
220	5.579407975
221	5.567535895
222	5.557930657
223	5.549874356
224	5.543446841
225	5.537292623
226	5.530646237
227	5.523651551
228	5.518409755
229	5.510273877
230	5.500422092
231	5.49185101
232	5.483299208
233	5.482154078
234	5.475722001
235	5.473279689
236	5.466114326
237	5.462753242
238	5.454348271
239	5.447796467
240	5.446924181
241	5.437391925
242	5.433781519
243	5.424765764
244	5.420238446
245	5.409341969
246	5.396275558
247	5.386952902
248	5.381324154
249	5.380703888
250	5.369922673
251	5.368423608
252	5.357552492
253	5.350113782
254	5.342296951
255	5.333222025
256	5.32537155
257	5.319568583
258	5.318879531
259	5.311268676
